Manufacturer,Category,Leather interior,Fuel type,Engine volume,Mileage(in km),Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
LEXUS,Jeep,1,Hybrid,3.5,18,6,Automatic,4x4,4-doors,Left wheel,Silver,12,1079568
CHEVROLET,Jeep,2,Petrol,3,19,6,Tiptronic,4x4,4-doors,Left wheel,Black,8,1346301
HONDA,Hatchback,2,Petrol,1.3,21,4,Variator,Front,4-doors,Right-hand drive,Black,2,685827
FORD,Jeep,1,Hybrid,2.5,16,4,Automatic,4x4,4-doors,Left wheel,White,0,292167
HONDA,Hatchback,1,Petrol,1.3,25,4,Automatic,Front,4-doors,Left wheel,Silver,4,949806
HYUNDAI,Jeep,1,Diesel,2,23,4,Automatic,Front,4-doors,Left wheel,White,4,3198933
TOYOTA,Hatchback,1,Hybrid,1.8,25,4,Automatic,Front,4-doors,Left wheel,White,12,146043
HYUNDAI,Sedan,1,Petrol,2.4,21,4,Automatic,Front,4-doors,Left wheel,Grey,12,44469
TOYOTA,Sedan,1,Hybrid,2.5,30,4,Automatic,Front,4-doors,Left wheel,Black,12,88938
LEXUS,Jeep,1,Petrol,3.5,12,6,Automatic,4x4,4-doors,Left wheel,Silver,12,2159217
MERCEDES-BENZ,Sedan,1,Diesel,3.5,18,6,Automatic,Rear,4-doors,Left wheel,White,12,76221
FORD,Microbus,2,CNG,4,10,8,Manual,Rear,2-doors,Left wheel,Blue,0,711261
OPEL,Goods wagon,2,CNG,1.6,15,4,Manual,Front,4-doors,Left wheel,White,4,243000
LEXUS,Jeep,1,Hybrid,3.5,18,6,Automatic,Front,4-doors,Left wheel,White,12,82539
HYUNDAI,Jeep,1,Diesel,2,19,4,Automatic,Front,4-doors,Left wheel,White,4,4816584
TOYOTA,Jeep,1,Petrol,2,21,4,Automatic,Front,4-doors,Left wheel,White,12,44469
HYUNDAI,Sedan,1,Petrol,1.8,16,4,Automatic,Front,4-doors,Left wheel,Blue,12,622323
HYUNDAI,Sedan,1,Petrol,1.8,25,4,Automatic,Front,4-doors,Left wheel,White,4,2298942
HYUNDAI,Sedan,1,Petrol,3.3,23,6,Automatic,Rear,4-doors,Left wheel,Blue,12,44469
LEXUS,Jeep,1,Hybrid,3.5,25,6,Automatic,4x4,4-doors,Left wheel,Black,12,76221
HYUNDAI,Sedan,1,Petrol,1.6,21,4,Automatic,Front,4-doors,Left wheel,Silver,4,1524906
TOYOTA,Sedan,1,Hybrid,1.8,30,4,Automatic,Front,4-doors,Left wheel,White,12,1676538
TOYOTA,Sedan,1,Petrol,2.5,12,4,Automatic,Front,4-doors,Left wheel,Black,12,1422522
FORD,Microbus,2,Diesel,2,18,4,Manual,Front,2-doors,Left wheel,White,0,635040
OPEL,Sedan,2,Petrol,1.8,10,4,Automatic,Front,4-doors,Left wheel,Green,4,381024
MERCEDES-BENZ,Sedan,1,Diesel,2.2,15,4,Tiptronic,Rear,4-doors,Left wheel,Black,8,1651185
LEXUS,Jeep,1,Petrol,4.7,18,8,Automatic,4x4,4-doors,Left wheel,White,0,44469
TOYOTA,Sedan,2,Hybrid,1.5,19,4,Automatic,Front,4-doors,Left wheel,White,8,2430
HYUNDAI,Sedan,1,Petrol,1.6,21,4,Automatic,Front,4-doors,Left wheel,Silver,4,1170774
TOYOTA,Jeep,1,Hybrid,3.3,16,6,Automatic,4x4,4-doors,Left wheel,Blue,12,977994
MERCEDES-BENZ,Goods wagon,2,Diesel,2,25,6,Manual,Rear,4-doors,Left wheel,White,4,1270161
PORSCHE,Jeep,1,Diesel,3,23,6,Automatic,4x4,4-doors,Left wheel,White,12,1574964
BMW,Jeep,1,CNG,4.4,25,8,Automatic,4x4,4-doors,Left wheel,Silver,6,558819
TOYOTA,Sedan,1,Hybrid,3.3,21,6,Automatic,4x4,4-doors,Left wheel,White,12,10125
JEEP,Jeep,1,Diesel,3,30,6,Tiptronic,4x4,4-doors,Left wheel,Black,10,1981422
HYUNDAI,Jeep,1,Diesel,2,12,4,Automatic,Front,4-doors,Left wheel,Grey,4,1882035
TOYOTA,Jeep,2,Petrol,2,18,4,Tiptronic,Front,4-doors,Left wheel,Red,12,4191426
HONDA,Hatchback,2,Hybrid,1.3,10,4,Automatic,Front,4-doors,Right-hand drive,Black,4,609687
HYUNDAI,Sedan,1,Petrol,1.6,15,4,Automatic,Front,4-doors,Left wheel,Silver,4,1548801
LEXUS,Jeep,1,Hybrid,3.5,18,6,Automatic,4x4,4-doors,Left wheel,Silver,12,25434
TOYOTA,Sedan,1,Petrol,2.4,19,4,Automatic,Front,4-doors,Left wheel,Blue,4,1981422
HYUNDAI,Universal,1,Diesel,2.5,21,4,Automatic,Front,4-doors,Left wheel,Black,4,3704454
VOLKSWAGEN,Sedan,1,Petrol,1.4,16,4,Tiptronic,Front,4-doors,Left wheel,Black,8,1633365
HYUNDAI,Sedan,1,Hybrid,2.4,25,4,Tiptronic,Front,4-doors,Left wheel,White,12,1727406
PORSCHE,Jeep,1,Petrol,3.6,23,6,Automatic,4x4,4-doors,Left wheel,Silver,12,44469
TOYOTA,Jeep,1,Petrol,4,25,6,Automatic,4x4,4-doors,Left wheel,Silver,12,17820
TOYOTA,Hatchback,2,Hybrid,1.5,21,4,Variator,Front,4-doors,Left wheel,Sky blue,8,1270161
HYUNDAI,Jeep,1,Diesel,2,30,4,Automatic,Front,4-doors,Left wheel,Black,4,4486590
TOYOTA,Hatchback,2,Hybrid,1.5,12,4,Automatic,Front,4-doors,Right-hand drive,Black,8,1016064
FORD,Jeep,2,Hybrid,2.3,18,4,Variator,4x4,4-doors,Left wheel,White,8,1397169
HONDA,Sedan,1,Petrol,2,10,4,Automatic,Front,4-doors,Left wheel,Blue,4,2826009
AUDI,Jeep,1,Petrol,3,15,6,Automatic,4x4,4-doors,Left wheel,Black,0,69822
RENAULT,Sedan,2,Diesel,1.5,18,4,Manual,Front,4-doors,Left wheel,White,10,1181223
MERCEDES-BENZ,Sedan,1,Petrol,2,19,4,Automatic,Rear,4-doors,Left wheel,Black,12,31752
AUDI,Jeep,1,Petrol,2,21,1,Tiptronic,4x4,4-doors,Left wheel,White,12,3118500
MERCEDES-BENZ,Coupe,2,Petrol,2,16,4,Manual,Rear,2-doors,Left wheel,Blue,0,711261
MERCEDES-BENZ,Jeep,1,Petrol,2,25,4,Tiptronic,4x4,4-doors,Left wheel,Grey,0,7056072
NISSAN,Jeep,1,Petrol,1.6,23,4,Automatic,4x4,4-doors,Left wheel,Black,0,114291
BMW,Sedan,1,Petrol,3,25,6,Automatic,Rear,4-doors,Left wheel,Black,12,31752
CHEVROLET,Sedan,2,Petrol,1.4,21,4,Automatic,Front,4-doors,Left wheel,Red,6,1905201
FORD,Sedan,2,Petrol,1.6,30,4,Tiptronic,Front,4-doors,Left wheel,Silver,8,1371735
TOYOTA,Minivan,1,Petrol,2.4,12,4,Automatic,Front,4-doors,Right-hand drive,Black,6,838269
NISSAN,Jeep,1,Petrol,1.6,18,4,Automatic,Front,4-doors,Left wheel,Black,0,584253
MERCEDES-BENZ,Sedan,2,Petrol,1.6,10,4,Tiptronic,Front,4-doors,Left wheel,Black,6,431811
HYUNDAI,Jeep,1,Diesel,2,15,4,Automatic,Front,4-doors,Left wheel,Grey,4,1662606
HYUNDAI,Sedan,1,CNG,2,18,4,Automatic,Front,4-doors,Left wheel,Orange,4,787482
HYUNDAI,Minivan,1,Diesel,2.5,19,4,Automatic,Front,4-doors,Left wheel,Silver,4,2807217
HYUNDAI,Minivan,1,Diesel,2.5,21,4,Automatic,Front,4-doors,Left wheel,Black,4,2961684
TOYOTA,Sedan,1,Hybrid,2.5,16,4,Automatic,Front,4-doors,Left wheel,White,12,25434
TOYOTA,Hatchback,2,Petrol,1.5,25,4,Manual,Front,4-doors,Right-hand drive,Sky blue,3,444528
HYUNDAI,Universal,1,Diesel,2.5,23,4,Automatic,Front,4-doors,Left wheel,Silver,4,2435103
CHEVROLET,Jeep,1,Diesel,2.2,25,4,Automatic,Front,4-doors,Left wheel,Silver,4,1279800
HYUNDAI,Universal,1,Diesel,2.5,21,4,Automatic,Front,4-doors,Left wheel,Grey,4,3560112
HYUNDAI,Jeep,1,Diesel,2,30,4,Automatic,Front,4-doors,Left wheel,Silver,4,4305474
TOYOTA,Hatchback,2,Hybrid,1.8,12,4,Automatic,Front,4-doors,Left wheel,White,8,1193940
FORD,Cabriolet,1,Petrol,2.3,18,4,Tiptronic,Rear,2-doors,Left wheel,Silver,6,3429297
MERCEDES-BENZ,Jeep,1,Petrol,3.5,10,6,Automatic,Rear,4-doors,Left wheel,White,12,304803
TOYOTA,Sedan,2,Petrol,1.8,15,4,Automatic,Front,4-doors,Left wheel,Silver,8,1473309
LEXUS,Jeep,1,Petrol,4.7,18,8,Automatic,4x4,4-doors,Left wheel,White,0,69822
FORD,Jeep,1,Hybrid,2.5,19,4,Automatic,Front,4-doors,Left wheel,White,0,17820
TOYOTA,Jeep,1,Hybrid,3.3,21,6,Automatic,4x4,4-doors,Left wheel,White,12,457245
TOYOTA,Sedan,1,Petrol,1.5,16,4,Automatic,Front,4-doors,Left wheel,White,12,609687
HONDA,Sedan,2,Hybrid,1.4,25,8,Automatic,4x4,4-doors,Right-hand drive,White,10,1778193
HONDA,Jeep,2,Petrol,2,23,4,Automatic,4x4,4-doors,Right-hand drive,White,2,660474
TOYOTA,Sedan,2,Petrol,2.5,25,4,Automatic,Front,4-doors,Left wheel,Black,0,1778193
HYUNDAI,Sedan,1,Petrol,1.6,21,4,Automatic,Front,4-doors,Left wheel,Black,4,1548801
HYUNDAI,Jeep,1,Diesel,2,30,4,Automatic,Front,4-doors,Left wheel,White,4,2921265
HONDA,Hatchback,1,Hybrid,1.3,12,4,Tiptronic,Front,4-doors,Right-hand drive,Green,12,711261
CHEVROLET,Sedan,1,Petrol,1.8,18,4,Automatic,Front,4-doors,Left wheel,Black,4,506007
CHEVROLET,Jeep,1,Diesel,2,10,4,Automatic,Front,4-doors,Left wheel,Grey,4,1319409
MERCEDES-BENZ,Jeep,1,Petrol,5.5,15,8,Automatic,4x4,4-doors,Left wheel,Black,10,6299775
BMW,Sedan,1,Petrol,2,18,6,Manual,Rear,4-doors,Left wheel,Blue,2,228582
SUBARU,Jeep,1,Petrol,2.5,19,4,Automatic,4x4,4-doors,Left wheel,Blue,0,44469
DAEWOO,Sedan,1,Petrol,2,21,4,Automatic,Front,4-doors,Left wheel,Black,4,565461
HYUNDAI,Sedan,2,Petrol,2,16,4,Tiptronic,Front,4-doors,Left wheel,Black,12,2210004
BMW,Coupe,1,Petrol,2,25,4,Automatic,Rear,2-doors,Left wheel,Black,12,2667249
NISSAN,Jeep,2,Diesel,2.8,23,4,Manual,Rear,4-doors,Left wheel,Black,0,1524177
HONDA,Hatchback,1,Petrol,1.4,25,4,Manual,Front,2-doors,Left wheel,Blue,6,342954
MERCEDES-BENZ,Sedan,1,Petrol,3.2,21,6,Tiptronic,Rear,4-doors,Left wheel,Grey,8,1219293
HYUNDAI,Coupe,1,Petrol,2,30,4,Automatic,Front,4-doors,Left wheel,Black,4,1252098
CHEVROLET,Sedan,1,Petrol,1.4,12,4,Automatic,Front,4-doors,Left wheel,Green,12,234981
PORSCHE,Coupe,1,Petrol,3.8,18,6,Automatic,Rear,2-doors,Left wheel,Black,12,57186
FORD,Sedan,1,Hybrid,2,10,4,Automatic,Front,4-doors,Left wheel,Black,12,25434
LEXUS,Jeep,1,Petrol,4.6,15,8,Automatic,4x4,4-doors,Left wheel,Silver,0,1270161
MERCEDES-BENZ,Microbus,2,Diesel,2.2,18,4,Manual,Rear,4-doors,Left wheel,White,1,2159217
TOYOTA,Hatchback,2,Petrol,1.5,19,4,Automatic,Front,4-doors,Left wheel,Silver,6,863703
FORD,Sedan,2,Petrol,2,21,4,Automatic,Front,4-doors,Left wheel,Sky blue,10,1041498
BMW,Jeep,1,Diesel,3,16,6,Automatic,4x4,4-doors,Left wheel,Black,12,82539
BMW,Sedan,1,Hybrid,3,25,6,Automatic,Rear,4-doors,Left wheel,White,12,44469
KIA,Hatchback,2,Petrol,1.2,23,4,Manual,Front,4-doors,Left wheel,Silver,2,1041498
BMW,Sedan,1,CNG,3,25,6,Tiptronic,Rear,4-doors,Left wheel,White,12,1215000
FORD,Jeep,1,Petrol,2.3,21,4,Automatic,Front,4-doors,Left wheel,Black,4,6929793
HYUNDAI,Universal,1,Diesel,2.5,30,4,Automatic,Front,4-doors,Left wheel,Grey,4,3624912
HYUNDAI,Sedan,1,Petrol,1.6,12,4,Automatic,Front,4-doors,Left wheel,White,4,1389798
MITSUBISHI,Jeep,2,CNG,2.4,18,4,Tiptronic,4x4,4-doors,Right-hand drive,White,16,990711
MERCEDES-BENZ,Sedan,1,Petrol,5,10,12,Tiptronic,Rear,4-doors,Right-hand drive,White,12,965277
MITSUBISHI,Sedan,2,Petrol,1.3,15,4,Manual,Rear,4-doors,Left wheel,Red,0,101574
HONDA,Hatchback,2,Petrol,1.5,18,4,Variator,Front,4-doors,Right-hand drive,Silver,4,7614
SSANGYONG,Jeep,1,Diesel,2,19,4,Automatic,Front,4-doors,Left wheel,Silver,4,2072871
HYUNDAI,Jeep,1,Diesel,2,21,4,Automatic,Front,4-doors,Left wheel,White,4,1206657
TOYOTA,Sedan,1,Hybrid,2.5,16,4,Tiptronic,Front,4-doors,Left wheel,White,12,1905201
RENAULT,Hatchback,2,Petrol,1.2,25,3,Manual,Front,2-doors,Left wheel,Green,0,279450
MAZDA,Sedan,1,Petrol,2.5,23,4,Automatic,Front,4-doors,Left wheel,Red,12,57186
TOYOTA,Sedan,1,Hybrid,3.3,25,6,Automatic,4x4,4-doors,Left wheel,Black,12,82539
FORD,Sedan,1,Petrol,2,21,4,Automatic,Front,4-doors,Left wheel,Black,0,1371735
TOYOTA,Sedan,1,Petrol,2.5,30,4,Tiptronic,Front,4-doors,Left wheel,Black,6,1574964
HYUNDAI,Sedan,1,CNG,2,12,4,Automatic,Front,4-doors,Left wheel,Silver,4,939924
HYUNDAI,Jeep,1,Diesel,2,18,4,Automatic,Front,4-doors,Left wheel,Blue,4,4209165
TOYOTA,Sedan,1,Hybrid,2.5,10,4,Automatic,Front,4-doors,Left wheel,Grey,12,57186
MERCEDES-BENZ,Sedan,2,Diesel,2.2,15,4,Manual,Rear,4-doors,Left wheel,Silver,4,762048
HYUNDAI,Minivan,1,Diesel,2.5,18,4,Automatic,Front,4-doors,Left wheel,Yellow,4,1079568
NISSAN,Minivan,2,Petrol,2,19,4,Tiptronic,Front,4-doors,Right-hand drive,White,12,1447956
NISSAN,Sedan,1,Petrol,3.5,21,6,Automatic,Front,4-doors,Left wheel,Grey,12,44469
TOYOTA,Jeep,2,Petrol,2.4,16,4,Automatic,4x4,4-doors,Left wheel,Silver,8,1625751
HYUNDAI,Minivan,1,Diesel,2.5,25,4,Automatic,Front,4-doors,Left wheel,Yellow,4,1854414
HONDA,Sedan,1,Hybrid,1.5,23,4,Automatic,Front,4-doors,Left wheel,White,0,234981
MITSUBISHI,Jeep,2,Petrol,2.4,25,4,Automatic,4x4,2-doors,Left wheel,Blue,6,1270161
LEXUS,Jeep,1,Petrol,4.6,21,8,Automatic,4x4,4-doors,Left wheel,Black,0,3226149
LEXUS,Jeep,1,Petrol,4.6,30,8,Automatic,4x4,4-doors,Left wheel,Black,0,57186
HYUNDAI,Sedan,1,Petrol,2.4,12,4,Tiptronic,Front,4-doors,Left wheel,Black,6,1511460
MERCEDES-BENZ,Sedan,1,Petrol,2,18,4,Automatic,Rear,4-doors,Left wheel,Black,12,1828980
HYUNDAI,Sedan,1,CNG,2,10,4,Automatic,Front,4-doors,Left wheel,Silver,4,939924
CHEVROLET,Hatchback,1,Hybrid,1.4,15,4,Automatic,Front,4-doors,Left wheel,Brown,0,25434
GMC,Jeep,1,Petrol,2.4,18,4,Automatic,Front,4-doors,Left wheel,Black,12,444528
MERCEDES-BENZ,Universal,2,Diesel,2.5,19,4,Manual,Rear,4-doors,Left wheel,Black,1,348300
TOYOTA,Sedan,1,Hybrid,2.5,21,4,Automatic,Front,4-doors,Left wheel,White,12,1524177
HONDA,Jeep,2,Petrol,1.8,16,4,Automatic,4x4,4-doors,Left wheel,Grey,8,1714689
FIAT,Coupe,2,Petrol,1.2,25,4,Automatic,Front,2-doors,Right-hand drive,Red,4,736695
VOLKSWAGEN,Sedan,1,Diesel,2,23,4,Automatic,Front,4-doors,Left wheel,Silver,12,127008
SUBARU,Goods wagon,2,Petrol,2,25,6,Tiptronic,4x4,4-doors,Right-hand drive,Blue,6,254016
HYUNDAI,Sedan,1,Petrol,1.8,21,4,Tiptronic,Front,4-doors,Left wheel,Grey,12,1447956
HYUNDAI,Sedan,1,CNG,2,30,4,Automatic,Front,4-doors,Left wheel,Silver,4,914490
TOYOTA,Minivan,1,Petrol,3.5,12,6,Tiptronic,Front,4-doors,Left wheel,White,16,2921265
TOYOTA,Sedan,1,Hybrid,2.5,18,4,Automatic,Front,4-doors,Left wheel,White,12,69822
HYUNDAI,Universal,1,Diesel,2.5,10,4,Automatic,Front,4-doors,Left wheel,Silver,4,1732995
HYUNDAI,Sedan,1,CNG,2,15,4,Automatic,Front,4-doors,Left wheel,Silver,4,1270161
CHEVROLET,Jeep,1,Hybrid,1.4,18,4,Automatic,Front,4-doors,Left wheel,Red,0,50787
TOYOTA,Hatchback,1,Petrol,1.5,19,4,Automatic,Front,4-doors,Left wheel,Black,4,3245670
MERCEDES-BENZ,Hatchback,2,Petrol,1.7,21,4,Automatic,Front,4-doors,Left wheel,Golden,8,965277
LEXUS,Jeep,1,Petrol,2,16,4,Tiptronic,Front,4-doors,Left wheel,Black,6,5842530
SSANGYONG,Jeep,1,Diesel,2,25,4,Automatic,Front,4-doors,Left wheel,Silver,4,2910087
TOYOTA,Sedan,2,Hybrid,1.8,23,4,Automatic,4x4,4-doors,Left wheel,White,4,1701972
TOYOTA,Sedan,1,Petrol,3.5,25,6,Automatic,Front,4-doors,Left wheel,Grey,12,1701972
KIA,Minivan,1,Diesel,2.9,21,4,Automatic,Front,4-doors,Left wheel,White,6,1066932
HYUNDAI,Coupe,1,Petrol,2,30,4,Automatic,Front,4-doors,Left wheel,Grey,4,1265544
OPEL,Sedan,2,Petrol,1.6,12,4,Manual,Front,4-doors,Left wheel,Beige,2,368307
INFINITI,Jeep,1,Petrol,3.5,18,6,Automatic,4x4,4-doors,Left wheel,Black,12,444528
HYUNDAI,Sedan,1,Petrol,1.6,10,4,Automatic,Front,4-doors,Left wheel,White,4,1620405
VOLKSWAGEN,Sedan,1,Petrol,1.8,15,6,Tiptronic,Front,4-doors,Left wheel,Silver,8,2924910
MERCEDES-BENZ,Sedan,1,Petrol,2.4,18,6,Manual,Rear,4-doors,Left wheel,Blue,4,635040
MAZDA,Jeep,1,Petrol,2,19,4,Automatic,4x4,4-doors,Left wheel,Black,12,38070
AUDI,Coupe,1,Petrol,0.5,21,1,Tiptronic,Rear,5 or more,Right-hand drive,Blue,0,105300
HYUNDAI,Jeep,1,Diesel,2,16,4,Automatic,Front,4-doors,Left wheel,Silver,4,3554280
MERCEDES-BENZ,Sedan,1,Petrol,1.8,25,4,Tiptronic,Rear,4-doors,Left wheel,Grey,8,2387799
TOYOTA,Sedan,1,Hybrid,2.5,23,4,Variator,Front,4-doors,Left wheel,White,12,1397169
TOYOTA,Universal,2,Petrol,1.5,25,4,Automatic,4x4,4-doors,Right-hand drive,Silver,2,762048
HYUNDAI,Jeep,1,Diesel,2,21,4,Automatic,Front,4-doors,Left wheel,Red,4,3581253
BMW,Sedan,1,Petrol,2.5,30,6,Manual,Rear,4-doors,Left wheel,Grey,6,685827
AUDI,Sedan,1,Petrol,3,12,6,Automatic,4x4,4-doors,Left wheel,Silver,12,50787
FORD,Goods wagon,2,Diesel,2.4,18,4,Manual,4x4,4-doors,Left wheel,White,2,1777950
FIAT,Hatchback,1,Petrol,1.4,10,4,Automatic,Front,4-doors,Left wheel,Red,12,57186
CHEVROLET,Sedan,1,Petrol,1.4,15,4,Automatic,Front,4-doors,Left wheel,Black,12,254016
OPEL,Sedan,2,CNG,2,18,4,Manual,Front,4-doors,Left wheel,White,2,279450
MITSUBISHI,Jeep,2,Petrol,3.5,19,6,Tiptronic,4x4,4-doors,Right-hand drive,Silver,4,762048
NISSAN,Jeep,1,CNG,4,21,6,Tiptronic,4x4,4-doors,Left wheel,Black,12,2551500
MITSUBISHI,Minivan,1,Petrol,3,16,6,Automatic,4x4,4-doors,Right-hand drive,White,12,1651185
MERCEDES-BENZ,Sedan,1,Diesel,3.5,25,6,Automatic,4x4,4-doors,Left wheel,Silver,12,25434
VOLKSWAGEN,Sedan,2,CNG,2,23,4,Manual,Front,4-doors,Left wheel,Green,0,186300
MERCEDES-BENZ,Universal,2,CNG,1.9,25,4,Tiptronic,Front,4-doors,Left wheel,Silver,4,635040
TOYOTA,Sedan,1,Petrol,2.5,21,4,Tiptronic,Front,4-doors,Left wheel,Blue,12,4572450
VOLKSWAGEN,Universal,1,Diesel,2,30,4,Automatic,Front,4-doors,Left wheel,Grey,12,120690
TOYOTA,Sedan,1,Petrol,2.7,12,4,Automatic,Rear,4-doors,Left wheel,Black,12,50787
MERCEDES-BENZ,Sedan,1,Diesel,3.5,18,6,Automatic,4x4,4-doors,Left wheel,Silver,12,25434
HONDA,Jeep,2,Petrol,2.4,10,4,Automatic,4x4,4-doors,Left wheel,Silver,6,1066932
NISSAN,Jeep,2,Diesel,2.8,15,4,Manual,Rear,4-doors,Left wheel,Black,0,1600317
AUDI,Hatchback,1,Petrol,3,18,6,Automatic,4x4,4-doors,Left wheel,Grey,0,381024
HYUNDAI,Sedan,1,Petrol,2.4,19,4,Automatic,Front,4-doors,Left wheel,Black,12,57186
MERCEDES-BENZ,Sedan,1,Diesel,3.5,21,6,Automatic,Rear,4-doors,Left wheel,Grey,12,469962
